versiculo,localizacao
"Portanto, irmãos, rogo pelas misericórdias de Deus que se ofereçam em sacrifício vivo, santo e agradável a Deus; este é o culto racional de vocês. Não se amoldem ao padrão deste mundo, mas transformem-se pela renovação da sua mente, para que sejam capazes de experimentar e comprovar a boa, agradável e perfeita vontade de Deus.",Romanos 12:1-2
Atribuam ao Senhor a glória que o seu nome merece; adorem o Senhor no esplendor do seu santuário.,Salmos 29:2
"Venham! Adoremos prostrados e ajoelhemos diante do Senhor, o nosso Criador;",Salmos 95:6
"Exaltem o Senhor, o nosso Deus, prostrem-se diante do estrado dos seus pés. Ele é santo!",Salmos 99:5
Entrem por suas portas com ações de graças e em seus átrios com louvor; deem-lhe graças e bendigam o seu nome.,Salmos 100:4
"O teu amor é melhor do que a vida! Por isso os meus lábios te exaltarão. Enquanto eu viver te bendirei, e em teu nome levantarei as minhas mãos.",Salmos 63:3-4
"Portanto, já que estamos recebendo um Reino inabalável, sejamos agradecidos e, assim, adoremos a Deus de modo aceitável, com reverência e temor, pois o nosso ""Deus é fogo consumidor!""",Hebreus 12:28-29
"Aclamem a Deus, povos de toda terra! Cantem louvores ao seu glorioso nome; louvem-no gloriosamente! Digam a Deus: ""Quão temíveis são os teus feitos! Tão grande é o teu poder que os teus inimigos rastejam diante de ti! Toda a terra te adora e canta louvores a ti, canta louvores ao teu nome"".",Salmos 66:1-4
"Todas as nações que tu formaste virão e te adorarão, Senhor, e glorificarão o teu nome. Pois tu és grande e realizas feitos maravilhosos; só tu és Deus!",Salmos 86:9-10
"Quem não te temerá, ó Senhor? Quem não glorificará o teu nome? Pois tu somente és santo. Todas as nações virão à tua presença e te adorarão, pois os teus atos de justiça se tornaram manifestos"".",Apocalipse 15:4
"Então o homem disse: ""Senhor, eu creio"". E o adorou.",João 9:38
"Assim que Moisés entrava, a coluna de nuvem descia e ficava à entrada da tenda, enquanto o Senhor falava com Moisés. Quando o povo via a coluna de nuvem parada à entrada da tenda, todos prestavam adoração em pé, cada qual na entrada de sua própria tenda.",Êxodo 33:9-10
"Ali, na presença do Senhor, o seu Deus, vocês e suas famílias comerão e se alegrarão com tudo o que tiverem feito, pois o Senhor, o seu Deus, os terá abençoado.",Deuteronômio 12:7
"Ao ouvir isso, Jó levantou-se, rasgou o manto e rapou a cabeça. Então prostrou-se com o rosto em terra, em adoração, e disse: ""Saí nu do ventre da minha mãe, e nu partirei. O Senhor o deu, o Senhor o levou; louvado seja o nome do Senhor "".",Jó 1:20-21
"Eu, João, sou aquele que ouviu e viu estas coisas. Tendo-as ouvido e visto, caí aos pés do anjo que me mostrou tudo aquilo, para adorá-lo. Mas ele me disse: ""Não faça isso! Sou servo como você e seus irmãos, os profetas, e como os que guardam as palavras deste livro. Adore a Deus!""",Apocalipse 22:8-9
"Sejam fortes e corajosos. Não tenham medo nem fiquem apavorados por causa delas, pois o Senhor, o seu Deus, vai com vocês; nunca os deixará, nunca os abandonará"".",Deuteronômio 31:6
"Que diremos, pois, diante dessas coisas? Se Deus é por nós, quem será contra nós?",Romanos 8:31
"Por isso não desanimamos. Embora exteriormente estejamos a desgastar-nos, interiormente estamos sendo renovados dia após dia, pois os nossos sofrimentos leves e momentâneos estão produzindo para nós uma glória eterna que pesa mais do que todos eles. Assim, fixamos os olhos, não naquilo que se vê, mas no que não se vê, pois o que se vê é transitório, mas o que não se vê é eterno.",2 Coríntios 4:16-18
"Por isso, não abram mão da confiança que vocês têm; ela será ricamente recompensada.",Hebreus 10:35
"mas Samá tomou posição no meio da plantação, defendeu-a e derrotou os filisteus. O Senhor concedeu-lhe uma grande vitória.",2 Samuel 23:12
Não me assustam os milhares que me cercam.,Salmos 3:6
"O Senhor firma os passos de um homem, quando a conduta deste o agrada; ainda que tropece, não cairá, pois o Senhor o toma pela mão.",Salmos 37:23-24
"mas aqueles que esperam no Senhor renovam as suas forças. Voam alto como águias; correm e não ficam exaustos, andam e não se cansam.",Isaías 40:31
"Entregue o seu caminho ao Senhor; confie nele, e ele agirá:",Salmos 37:5
"Jesus olhou para eles e respondeu: ""Para o homem é impossível, mas para Deus todas as coisas são possíveis"".",Mateus 19:26
"""Se podes?"", disse Jesus. ""Tudo é possível àquele que crê.""",Marcos 9:23
Tudo posso naquele que me fortalece.,Filipenses 4:13
"Não só isso, mas também nos gloriamos nas tribulações, porque sabemos que a tribulação produz perseverança; a perseverança, um caráter aprovado; e o caráter aprovado, esperança. E a esperança não nos decepciona, porque Deus derramou seu amor em nossos corações, por meio do Espírito Santo que ele nos concedeu.",Romanos 5:3-5
"Pois Deus não nos deu espírito de covardia, mas de poder, de amor e de equilíbrio.",2 Timóteo 1:7
"""Não tenha medo do que você está prestes a sofrer. O Diabo lançará alguns de vocês na prisão para prová-los, e vocês sofrerão perseguição durante dez dias. Seja fiel até a morte, e eu lhe darei a coroa da vida.",Apocalipse 2:10
"Vejam, o Senhor, o seu Deus, põe diante de vocês esta terra. Entrem na terra e tomem posse dela, conforme o Senhor, o Deus dos seus antepassados, disse a vocês. Não tenham medo nem desanimem.",Deuteronômio 1:21
"pois o Senhor, o seu Deus, os acompanhará e lutará por vocês contra os seus inimigos, para dar a vitória a vocês'.",Deuteronômio 20:4
"Não confio em meu arco, minha espada não me concede a vitória; mas tu nos concedes a vitória sobre os nossos adversários e humilhas os que nos odeiam. Em Deus nos gloriamos o tempo todo, e louvaremos o teu nome para sempre.",Salmos 44:6-8
"Eu dei a vocês autoridade para pisarem sobre cobras e escorpiões, e sobre todo o poder do inimigo; nada lhes fará dano.",Lucas 10:19
"Tu, Senhor, guardarás em perfeita paz aquele cujo propósito está firme, porque em ti confia.",Isaías 26:3
"Venham a mim, todos os que estão cansados e sobrecarregados, e eu darei descanso a vocês.",Mateus 11:28
"Vigiem e orem para que não caiam em tentação. O espírito está pronto, mas a carne é fraca.""",Marcos 14:38
"Chegando ao lugar, ele lhes disse: ""Orem para que vocês não caiam em tentação"".",Lucas 22:40
"""Por que estão dormindo?"", perguntou-lhes. ""Levantem-se e orem para que vocês não caiam em tentação!""",Lucas 22:46
"""Eu disse essas coisas para que em mim vocês tenham paz. Neste mundo vocês terão aflições; contudo, tenham ânimo! Eu venci o mundo"".",João 16:33
"Sabemos que Deus age em todas as coisas para o bem daqueles que o amam, dos que foram chamados de acordo com o seu propósito.",Romanos 8:28
"Quem nos separará do amor de Cristo? Será tribulação, ou angústia, ou perseguição, ou fome, ou nudez, ou perigo, ou espada?",Romanos 8:35
"Não se deixem vencer pelo mal, mas vençam o mal com o bem.",Romanos 12:21
"Fujam da imoralidade sexual. Todos os outros pecados que alguém comete, fora do corpo os comete; mas quem peca sexualmente, peca contra o seu próprio corpo. Acaso não sabem que o corpo de vocês é santuário do Espírito Santo que habita em vocês, que lhes foi dado por Deus, e que vocês não são de vocês mesmos? Vocês foram comprados por alto preço. Portanto, glorifiquem a Deus com o seu próprio corpo.",1 Coríntios 6:18-20
"Não sobreveio a vocês tentação que não fosse comum aos homens. E Deus é fiel; ele não permitirá que vocês sejam tentados além do que podem suportar. Mas, quando forem tentados, ele mesmo providenciará um escape, para que o possam suportar.",1 Coríntios 10:13
"Mas graças a Deus, que nos dá a vitória por meio de nosso Senhor Jesus Cristo.",1 Coríntios 15:57
"Se vocês perdoam a alguém, eu também perdoo; e aquilo que perdoei, se é que havia alguma coisa para perdoar, perdoei na presença de Cristo, por amor a vocês, a fim de que Satanás não tivesse vantagem sobre nós; pois não ignoramos as suas intenções.",2 Coríntios 2:10-11
"Mas graças a Deus, que sempre nos conduz vitoriosamente em Cristo e por nosso intermédio exala em todo lugar a fragrância do seu conhecimento;",2 Coríntios 2:14
"Quanto à antiga maneira de viver, vocês foram ensinados a despir-se do velho homem, que se corrompe por desejos enganosos, a serem renovados no modo de pensar e a revestir-se do novo homem, criado para ser semelhante a Deus em justiça e em santidade provenientes da verdade.",Efésios 4:22-24
"""Quando vocês ficarem irados, não pequem"". Apazigúem a sua ira antes que o sol se ponha e não deem lugar ao Diabo.",Efésios 4:26-27
Tudo posso naquele que me fortalece.,Filipenses 4:13
"Finalmente, fortaleçam-se no Senhor e no seu forte poder. Vistam toda a armadura de Deus, para poderem ficar firmes contra as ciladas do Diabo, pois a nossa luta não é contra seres humanos, mas contra os poderes e autoridades, contra os dominadores deste mundo de trevas, contra as forças espirituais do mal nas regiões celestiais. Por isso, vistam toda a armadura de Deus, para que possam resistir no dia mau e permanecer inabaláveis, depois de terem feito tudo.",Efésios 6:10-13
Mas o Senhor é fiel; ele os fortalecerá e os guardará do Maligno.,2 Tessalonicenses 3:3
"Os que querem ficar ricos caem em tentação, em armadilhas e em muitos desejos descontrolados e nocivos, que levam os homens a mergulharem na ruína e na destruição,",1 Timóteo 6:9
O Senhor me livrará de toda obra maligna e me levará a salvo para o seu Reino celestial. A ele seja a glória para todo o sempre. Amém.,2 Timóteo 4:18
"Porque, tendo em vista o que ele mesmo sofreu quando tentado, ele é capaz de socorrer aqueles que também estão sendo tentados.",Hebreus 2:18
"Pensem bem naquele que suportou tal oposição dos pecadores contra si mesmo, para que vocês não se cansem nem desanimem.",Hebreus 12:3
"Conservem-se livres do amor ao dinheiro e contentem-se com o que vocês têm, porque Deus mesmo disse: ""Nunca o deixarei, nunca o abandonarei"".",Hebreus 13:5
"Feliz é o homem que persevera na provação, porque depois de aprovado receberá a coroa da vida, que Deus prometeu aos que o amam. Quando alguém for tentado, jamais deverá dizer: ""Estou sendo tentado por Deus"". Pois Deus não pode ser tentado pelo mal e a ninguém tenta. Cada um, porém, é tentado pelo próprio mau desejo, sendo por este arrastado e seduzido. Então esse desejo, tendo concebido, dá à luz o pecado, e o pecado, após ser consumado, gera a morte.",Tiago 1:12-15
"Portanto, submetam-se a Deus. Resistam ao Diabo, e ele fugirá de vocês. Aproximem-se de Deus, e ele se aproximará de vocês! Pecadores, limpem as mãos, e vocês, que têm a mente dividida, purifiquem o coração.",Tiago 4:7-8
"Humilhem-se diante do Senhor, e ele os exaltará.",Tiago 4:10
"Estejam alertas e vigiem. O Diabo, o inimigo de vocês, anda ao redor como leão, rugindo e procurando a quem possa devorar. Resistam-lhe, permanecendo firmes na fé, sabendo que os irmãos que vocês têm em todo o mundo estão passando pelos mesmos sofrimentos. O Deus de toda a graça, que os chamou para a sua glória eterna em Cristo Jesus, depois de terem sofrido por pouco tempo, os restaurará, os confirmará, os fortalecerá e os porá sobre firmes alicerces.",1 Pedro 5:8-10
"Filhinhos, eu escrevo a vocês porque os seus pecados foram perdoados, graças ao nome de Jesus. Pais, eu escrevo a vocês porque conhecem aquele que é desde o princípio. Jovens, eu escrevo a vocês porque venceram o Maligno.",1 João 2:12-13
"Filhinhos, eu escrevi a vocês porque conhecem o Pai. Pais, eu escrevi a vocês porque conhecem aquele que é desde o princípio. Jovens, eu escrevi a vocês, porque são fortes, e em vocês a Palavra de Deus permanece, e vocês venceram o Maligno. Não amem o mundo nem o que nele há. Se alguém ama o mundo, o amor do Pai não está nele.",1 João 2:14-15
"Aquele que pratica o pecado é do Diabo, porque o Diabo vem pecando desde o princípio. Para isso o Filho de Deus se manifestou: para destruir as obras do Diabo.",1 João 3:8
"Filhinhos, vocês são de Deus e os venceram, porque aquele que está em vocês é maior do que aquele que está no mundo.",1 João 4:4
Porque nisto consiste o amor a Deus: em obedecer aos seus mandamentos. E os seus mandamentos não são pesados. O que é nascido de Deus vence o mundo; e esta é a vitória que vence o mundo: a nossa fé. Quem é que vence o mundo? Somente aquele que crê que Jesus é o Filho de Deus.,1 João 5:3-5
"""Ao vencedor darei o direito de sentar-se comigo em meu trono, assim como eu também venci e sentei-me com meu Pai em seu trono.",Apocalipse 3:21
"Eles o venceram pelo sangue do Cordeiro e pela palavra do testemunho que deram; diante da morte, não amaram a própria vida.",Apocalipse 12:11
O Senhor te abençoe e te guarde; o Senhor faça resplandecer o seu rosto sobre ti e te conceda graça; o Senhor volte para ti o seu rosto e te dê paz.,Números 6:24-26
"""Mas bendito é o homem cuja confiança está no Senhor, cuja confiança nele está. Ele será como uma árvore plantada junto às águas e que estende as suas raízes para o ribeiro. Ela não temerá quando chegar o calor, porque as suas folhas estão sempre verdes; não ficará ansiosa no ano da seca nem deixará de dar fruto"".",Jeremias 17:7-8
"Porque sou eu que conheço os planos que tenho para vocês', diz o Senhor, 'planos de fazê-los prosperar e não de causar dano, planos de dar a vocês esperança e um futuro.",Jeremias 29:11
"Prestem culto ao Senhor, o Deus de vocês, e ele os abençoará, dando a vocês alimento e água. Tirarei a doença do meio de vocês.",Êxodo 23:25
"Consagre ao Senhor tudo o que você faz, e os seus planos serão bem-sucedidos.",Provérbios 16:3
"O meu Deus suprirá todas as necessidades de vocês, de acordo com as suas gloriosas riquezas em Cristo Jesus.",Filipenses 4:19
"Pois hoje ordeno a vocês que amem o Senhor, o seu Deus, andem nos seus caminhos e guardem os seus mandamentos, decretos e ordenanças; então vocês terão vida e aumentarão em número, e o Senhor, o seu Deus, os abençoará na terra em que vocês estão entrando para dela tomar posse.",Deuteronômio 30:16
Provem e vejam como o Senhor é bom. Como é feliz o homem que nele se refugia!,Salmos 34:8
"Como é grande a tua bondade, que reservaste para aqueles que te temem, e que, à vista dos homens, concedes àqueles que se refugiam em ti!",Salmos 31:19
"""Mas eu digo a vocês que estão me ouvindo: Amem os seus inimigos, façam o bem aos que os odeiam, abençoem os que os amaldiçoam, orem por aqueles que os maltratam.",Lucas 6:27-28
"Não retribuam mal com mal, nem insulto com insulto; ao contrário, bendigam; pois para isso vocês foram chamados, para receberem bênção por herança.",1 Pedro 3:9
O Senhor é o meu pastor; de nada terei falta. Em verdes pastagens me faz repousar e me conduz a águas tranquilas;,Salmos 23:1-2
"Tragam o dízimo todo ao depósito do templo, para que haja alimento em minha casa. Ponham-me à prova"", diz o Senhor dos Exércitos, ""e vejam se não vou abrir as comportas dos céus e derramar sobre vocês tantas bênçãos que nem terão onde guardá-las.",Malaquias 3:10
"Mas o fruto do Espírito é amor, alegria, paz, paciência, amabilidade, bondade, fidelidade, mansidão e domínio próprio. Contra essas coisas não há lei.",Gálatas 5:22-23
"Por isso jejuamos e suplicamos essa bênção ao nosso Deus, e ele nos atendeu.",Esdras 8:23
Que o Senhor te responda no tempo da angústia; o nome do Deus de Jacó te proteja! Do santuário te envie auxílio e de Sião te dê apoio. Lembre-se de todas as tuas ofertas e aceite os teus holocaustos. Conceda-te o desejo do teu coração e leve a efeito todos os teus planos.,Salmos 20:1-4
Do Senhor vem o livramento. A tua bênção está sobre o teu povo.,Salmos 3:8
O Senhor dá força ao seu povo; o Senhor dá a seu povo a bênção da paz.,Salmos 29:11
A bênção do Senhor traz riqueza e não inclui dor alguma.,Provérbios 10:22
"O Senhor é refúgio para os oprimidos, uma torre segura na hora da adversidade.",Salmos 9:9
"Tu, Senhor, ouves a súplica dos necessitados; tu os reanimas e atendes ao seu clamor.",Salmos 10:17
"Tu, Senhor, manténs acesa a minha lâmpada; o meu Deus transforma em luz as minhas trevas.",Salmos 18:28
"Mesmo quando eu andar por um vale de trevas e morte, não temerei perigo algum, pois tu estás comigo; a tua vara e o teu cajado me protegem.",Salmos 23:4
O Senhor está perto dos que têm o coração quebrantado e salva os de espírito abatido.,Salmos 34:18
"Ele enxugará dos seus olhos toda lágrima. Não haverá mais morte, nem tristeza, nem choro, nem dor, pois a antiga ordem já passou"".",Apocalipse 21:4
"Deus é o nosso refúgio e a nossa fortaleza, auxílio sempre presente na adversidade.",Salmos 46:1
"Pois a sua ira só dura um instante, mas o seu favor dura a vida toda; o choro pode persistir uma noite, mas de manhã irrompe a alegria.",Salmos 30:5
que este Deus é o nosso Deus para todo o sempre; ele será o nosso guia até o fim.,Salmos 48:14
Desde os confins da terra eu clamo a ti com o coração abatido; põe-me a salvo na rocha mais alta do que eu.,Salmos 61:2
"Quando a ansiedade já me dominava no íntimo, o teu consolo trouxe alívio à minha alma.",Salmos 94:19
Este é o meu consolo no meu sofrimento: A tua promessa dá-me vida.,Salmos 119:50
"Para tudo há uma ocasião certa; há um tempo certo para cada propósito debaixo do céu: Tempo de nascer e tempo de morrer, tempo de plantar e tempo de arrancar o que se plantou, tempo de matar e tempo de curar, tempo de derrubar e tempo de construir, tempo de chorar e tempo de rir, tempo de prantear e tempo de dançar,",Eclesiastes 3:1-4
"Bem-aventurados os que choram, pois serão consolados.",Mateus 5:4
"Por isso não tema, pois estou com você; não tenha medo, pois sou o seu Deus. Eu o fortalecerei e o ajudarei; eu o segurarei com a minha mão direita vitoriosa.",Isaías 41:10
"Quando você atravessar as águas, eu estarei com você; quando você atravessar os rios, eles não o encobrirão. Quando você andar através do fogo, não se queimará; as chamas não o deixarão em brasas.",Isaías 43:2
"Gritem de alegria, ó céus, regozije-se, ó terra; irrompam em canção, ó montes! Pois o Senhor consola o seu povo e terá compaixão de seus afligidos.",Isaías 49:13
"O justo perece, e ninguém pondera isso em seu coração; homens piedosos são tirados, e ninguém entende que os justos são tirados para serem poupados do mal. Aqueles que andam retamente entrarão na paz; acharão descanso na morte.",Isaías 57:1-2
"Graças ao grande amor do Senhor é que não somos consumidos, pois as suas misericórdias são inesgotáveis. Renovam-se cada manhã; grande é a sua fidelidade! Digo a mim mesmo: A minha porção é o Senhor; portanto, nele porei a minha esperança. O Senhor é bom para com aqueles cuja esperança está nele, para com aqueles que o buscam; é bom esperar tranquilo pela salvação do Senhor.",Lamentações 3:22-26
"Porque o Senhor não o desprezará para sempre. Embora ele traga tristeza, mostrará compaixão, tão grande é o seu amor infalível.",Lamentações 3:31-32
"""Venham a mim, todos os que estão cansados e sobrecarregados, e eu darei descanso a vocês.",Mateus 11:28
Alegrem-se com os que se alegram; chorem com os que choram.,Romanos 12:15
"""Onde está, ó morte, a sua vitória? Onde está, ó morte, o seu aguilhão?"" O aguilhão da morte é o pecado, e a força do pecado é a Lei. Mas graças a Deus, que nos dá a vitória por meio de nosso Senhor Jesus Cristo.",1 Coríntios 15:55-57
"Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo, Pai das misericórdias e Deus de toda consolação, que nos consola em todas as nossas tribulações, para que, com a consolação que recebemos de Deus, possamos consolar os que estão passando por tribulações.",2 Coríntios 1:3-4
"Mas ele me disse: ""Minha graça é suficiente a você, pois o meu poder se aperfeiçoa na fraqueza"". Portanto, eu me gloriarei ainda mais alegremente em minhas fraquezas, para que o poder de Cristo repouse em mim.",2 Coríntios 12:9
"Levem os fardos pesados uns dos outros e, assim, cumpram a lei de Cristo.",Gálatas 6:2
"Irmãos, não queremos que vocês sejam ignorantes quanto aos que dormem, para que não se entristeçam como os outros que não têm esperança. Se cremos que Jesus morreu e ressurgiu, cremos também que Deus trará, mediante Jesus e com ele, aqueles que nele dormiram.",1 Tessalonicenses 4:13-14
"Que o próprio Senhor Jesus Cristo e Deus nosso Pai, que nos amou e nos deu eterna consolação e boa esperança pela graça, deem ânimo ao coração de vocês e os fortaleçam para fazerem sempre o bem, tanto em atos como em palavras.",2 Tessalonicenses 2:16-17
"Assim, aproximemo-nos do trono da graça com toda a confiança, a fim de recebermos misericórdia e encontrarmos graça que nos ajude no momento da necessidade.",Hebreus 4:16
"Lancem sobre ele toda a sua ansiedade, porque ele tem cuidado de vocês.",1 Pedro 5:7
Como pode o jovem manter pura a sua conduta? Vivendo de acordo com a tua palavra.,Salmos 119:9
"Lembre-se do seu Criador nos dias da sua juventude, antes que venham os dias difíceis e se aproximem os anos em que você dirá: ""Não tenho satisfação neles"";",Eclesiastes 12:1
"Filhinhos, eu escrevi a vocês porque conhecem o Pai. Pais, eu escrevi a vocês porque conhecem aquele que é desde o princípio. Jovens, eu escrevi a vocês, porque são fortes, e em vocês a Palavra de Deus permanece, e vocês venceram o Maligno.",1 João 2:14
"Ninguém o despreze pelo fato de você ser jovem, mas seja um exemplo para os fiéis na palavra, no procedimento, no amor, na fé e na pureza.",1 Timóteo 4:12
"Alegre-se, jovem, na sua mocidade! Seja feliz o seu coração nos dias da sua juventude! Siga por onde seu coração mandar, até onde a sua vista alcançar; mas saiba que por todas essas coisas Deus o trará a julgamento.",Eclesiastes 11:9
"Afaste do coração a ansiedade e acabe com o sofrimento do seu corpo, pois a juventude e o vigor são passageiros.",Eclesiastes 11:10
"A beleza dos jovens está na sua força; a glória dos idosos, nos seus cabelos brancos.",Provérbios 20:29
"Filhos, obedeçam a seus pais no Senhor, pois isso é justo. ""Honra teu pai e tua mãe"" - este é o primeiro mandamento com promessa - ""para que tudo te corra bem e tenhas longa vida sobre a terra"".",Efésios 6:1-3
"Da mesma maneira, encoraje os jovens a serem prudentes.",Tito 2:6
"Da mesma forma, jovens, sujeitem-se aos mais velhos. Sejam todos humildes uns para com os outros, porque ""Deus se opõe aos orgulhosos, mas concede graça aos humildes"". Portanto, humilhem-se debaixo da poderosa mão de Deus, para que ele os exalte no tempo devido.",1 Pedro 5:5-6
"Ouça, meu filho, e seja sábio; guie o seu coração pelo bom caminho. Não ande com os que se encharcam de vinho, nem com os que se empanturram de carne. Pois os bêbados e os glutões se empobrecerão, e a sonolência os vestirá de trapos. Ouça o seu pai, que o gerou; não despreze sua mãe quando ela envelhecer.",Provérbios 23:19-22
"Melhor é um jovem pobre e sábio, do que um rei idoso e tolo, que já não aceita repreensão.",Eclesiastes 4:13
"Estes são os provérbios de Salomão, filho de Davi, rei de Israel. Eles ajudarão a experimentar a sabedoria e a disciplina; a compreender as palavras que dão entendimento; a viver com disciplina e sensatez, fazendo o que é justo, direito e correto; ajudarão a dar prudência aos inexperientes e conhecimento e bom senso aos jovens.",Provérbios 1:1-4
"Até os jovens se cansam e ficam exaustos, e os moços tropeçam e caem; mas aqueles que esperam no Senhor renovam as suas forças. Voam alto como águias; correm e não ficam exaustos, andam e não se cansam.",Isaías 40:30-31
"A esses quatro jovens Deus deu sabedoria e inteligência para conhecerem todos os aspectos da cultura e da ciência. E Daniel, além disso, sabia interpretar todo tipo de visões e sonhos.",Daniel 1:17-18
"Mas eu disse: Ah, Soberano Senhor! Eu não sei falar, pois ainda sou muito jovem. O Senhor, porém, me disse: ""Não diga que é muito jovem. A todos a quem eu o enviar, você irá e dirá tudo o que eu ordenar a você. Não tenha medo deles, pois eu estou com você para protegê-lo"", diz o Senhor.",Jeremias 1:6-8
"""E, depois disso, derramarei do meu Espírito sobre todos os povos. Os seus filhos e as suas filhas profetizarão, os velhos terão sonhos, os jovens terão visões. Até sobre os servos e as servas derramarei do meu Espírito naqueles dias.",Joel 2:28-29
"Pois estou convencido de que nem morte nem vida, nem anjos nem demônios, nem o presente nem o futuro, nem quaisquer poderes, nem altura nem profundidade, nem qualquer outra coisa na criação será capaz de nos separar do amor de Deus que está em Cristo Jesus, nosso Senhor.",Romanos 8:38-39
"""Porque Deus tanto amou o mundo que deu o seu Filho Unigênito, para que todo o que nele crer não pereça, mas tenha a vida eterna.",João 3:16
"Deem graças ao Senhor, porque ele é bom. O seu amor dura para sempre!",Salmos 136:1
"Amados, não escrevo a vocês um mandamento novo, mas um mandamento antigo, que vocês têm desde o princípio: a mensagem que ouviram. No entanto, o que escrevo é um mandamento novo, o qual é verdadeiro nele e em vocês, pois as trevas estão se dissipando e já brilha a verdadeira luz.",1 João 2:7-8
"Todavia, Deus, que é rico em misericórdia, pelo grande amor com que nos amou, deu-nos vida com Cristo quando ainda estávamos mortos em transgressões - pela graça vocês são salvos.",Efésios 2:4-5
Porque nisto consiste o amor a Deus: em obedecer aos seus mandamentos. E os seus mandamentos não são pesados.,1 João 5:3
Mas Deus demonstra seu amor por nós: Cristo morreu em nosso favor quando ainda éramos pecadores.,Romanos 5:8
"Fui crucificado com Cristo. Assim, já não sou eu quem vive, mas Cristo vive em mim. A vida que agora vivo no corpo, vivo-a pela fé no filho de Deus, que me amou e se entregou por mim.",Gálatas 2:20
"Foi assim que Deus manifestou o seu amor entre nós: enviou o seu Filho Unigênito ao mundo, para que pudéssemos viver por meio dele. Nisto consiste o amor: não em que nós tenhamos amado a Deus, mas em que ele nos amou e enviou seu Filho como propiciação pelos nossos pecados. Amados, visto que Deus assim nos amou, nós também devemos amar uns aos outros.",1 João 4:9-11
"O Senhor, o seu Deus, está em seu meio, poderoso para salvar. Ele se regozijará em você; com o seu amor a renovará, ele se regozijará em você com brados de alegria"".",Sofonias 3:17
"Mas tu, Senhor, és Deus compassivo e misericordioso, muito paciente, rico em amor e em fidelidade.",Salmos 86:15
"Vejam como é grande o amor que o Pai nos concedeu: sermos chamados filhos de Deus, o que de fato somos! Por isso o mundo não nos conhece, porque não o conheceu.",1 João 3:1
"Amo os que me amam, e quem me procura me encontra.",Provérbios 8:17
"O Senhor é compassivo e misericordioso, mui paciente e cheio de amor.",Salmos 103:8
"o Senhor lhe apareceu no passado, dizendo: ""Eu a amei com amor eterno; com amor leal a atraí.",Jeremias 31:3
"Visto que você é precioso e honrado à minha vista, e porque eu o amo, darei homens em seu lugar, e nações em troca de sua vida.",Isaías 43:4
Nós amamos porque ele nos amou primeiro.,1 João 4:19
O teu amor é melhor do que a vida! Por isso os meus lábios te exaltarão.,Salmos 63:3
"Estende o teu amor aos que te conhecem; a tua justiça, aos que são retos de coração.",Salmos 36:10
"O amor é paciente, o amor é bondoso. Não inveja, não se vangloria, não se orgulha.",1 Coríntios 13:4
"Amados, amemos uns aos outros, pois o amor procede de Deus. Aquele que ama é nascido de Deus e conhece a Deus. Quem não ama não conhece a Deus, porque Deus é amor.",1 João 4:7-8
"Assim conhecemos o amor que Deus tem por nós e confiamos nesse amor. Deus é amor. Todo aquele que permanece no amor permanece em Deus, e Deus nele.",1 João 4:16
"No teu templo, ó Deus, meditamos em teu amor leal.",Salmos 48:9
O Senhor conduza o coração de vocês ao amor de Deus e à perseverança de Cristo.,2 Tessalonicenses 3:5
"A graça do Senhor Jesus Cristo, o amor de Deus e a comunhão do Espírito Santo sejam com todos vocês.",2 Coríntios 13:14
"Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo, Pai das misericórdias e Deus de toda consolação, que nos consola em todas as nossas tribulações, para que, com a consolação que recebemos de Deus, possamos consolar os que estão passando por tribulações.",2 Coríntios 1:3-4
"""Eu disse essas coisas para que em mim vocês tenham paz. Neste mundo vocês terão aflições; contudo, tenham ânimo! Eu venci o mundo"".",João 16:33
"Respondeu Jesus: ""Digo a verdade: Ninguém que tenha deixado casa, irmãos, irmãs, mãe, pai, filhos, ou campos, por causa de mim e do evangelho, deixará de receber cem vezes mais, já no tempo presente, casas, irmãos, irmãs, mães, filhos e campos, e com eles perseguição; e, na era futura, a vida eterna.",Marcos 10:29-30
"Bem-aventurados os que choram, pois serão consolados.",Mateus 5:4
"Pois assim como os sofrimentos de Cristo transbordam sobre nós, também por meio de Cristo transborda a nossa consolação.",2 Coríntios 1:5
"""Venham a mim, todos os que estão cansados e sobrecarregados, e eu darei descanso a vocês.",Mateus 11:28
"Não andem ansiosos por coisa alguma, mas em tudo, pela oração e súplicas, e com ação de graças, apresentem seus pedidos a Deus.",Filipenses 4:6
"Conservem-se livres do amor ao dinheiro e contentem-se com o que vocês têm, porque Deus mesmo disse: ""Nunca o deixarei, nunca o abandonarei"".",Hebreus 13:5
"Não se amoldem ao padrão deste mundo, mas transformem-se pela renovação da sua mente, para que sejam capazes de experimentar e comprovar a boa, agradável e perfeita vontade de Deus.",Romanos 12:2
"Por isso mesmo, aqueles que sofrem de acordo com a vontade de Deus devem confiar sua vida ao seu fiel Criador e praticar o bem.",1 Pedro 4:19
"Por isso não tema, pois estou com você; não tenha medo, pois sou o seu Deus. Eu o fortalecerei e o ajudarei; eu o segurarei com a minha mão direita vitoriosa.",Isaías 41:10
Este é o meu consolo no meu sofrimento: A tua promessa dá-me vida.,Salmos 119:50
"Os humildes, ele exalta e traz os que pranteiam a um lugar de segurança.",Jó 5:11
